nimi,lataukset_kk,viimeinen_julkaisu,riippuvia_paketteja,riippuvia_repoja,yllapitajia,advisoryja,repo_tahdet,repo_avoimet_issuet,repo_arkistoitu,versioita,repo
streamsearch,120420406,2021-12-19,111,470874,1,0,74,3,False,7,https://github.com/mscdex/streamsearch
@szmarczak/http-timer,119259522,2021-08-20,13,896216,1,0,191,6,False,20,https://github.com/szmarczak/http-timer
global-prefix,118937895,2024-08-17,400,959861,3,0,29,6,False,11,https://github.com/jonschlinkert/global-prefix
babel-plugin-macros,118673772,2021-05-05,2591,1650407,1,0,2632,12,False,37,https://github.com/kentcdodds/babel-plugin-macros
d3-drag,118169305,2021-06-09,317,62693,2,0,343,12,False,28,https://github.com/d3/d3-drag
component-emitter,118119649,2023-11-17,1656,567483,1,0,606,0,False,7,https://github.com/sindresorhus/component-emitter
lodash.defaults,117885351,2016-08-13,924,590723,2,0,61277,104,False,15,https://github.com/lodash/lodash
mitt,117711457,2023-07-04,2540,321160,1,0,11907,27,False,12,https://github.com/developit/mitt
create-require,117655797,2020-11-26,501,397926,1,0,31,2,False,7,https://github.com/nuxt-contrib/create-require
flat,117521203,2023-09-19,2250,441511,3,1,1770,51,False,28,https://github.com/hughsk/flat
busboy,117487906,2022-04-19,1087,428463,1,0,2999,39,False,41,https://github.com/mscdex/busboy
faye-websocket,117249683,2021-05-24,665,3105318,1,0,612,5,False,30,https://github.com/faye/faye-websocket-node
async-retry,117183675,2021-08-17,1689,135879,2,0,1919,30,False,18,https://github.com/vercel/async-retry
@babel/plugin-syntax-unicode-sets-regex,116574317,2022-06-27,5,310099,4,0,43991,774,False,7,https://github.com/babel/babel
node-gyp-build-optional-packages,115478955,2024-06-09,21,32618,1,0,124,32,False,19,https://github.com/prebuild/node-gyp-build
@aws-crypto/crc32,114489894,2023-10-16,24,16091,2,0,69,33,False,19,https://github.com/aws/aws-sdk-js-crypto-helpers
d3-geo,113860079,2024-03-12,409,71380,2,0,1100,34,False,54,https://github.com/d3/d3-geo
cacheable-lookup,113416207,2022-09-27,413,168825,1,0,221,20,False,34,https://github.com/szmarczak/cacheable-lookup
mkdirp-classic,113163809,2020-05-04,112,248497,1,0,4,0,False,2,https://github.com/mafintosh/mkdirp-classic
object-is,112937506,2024-02-28,392,2203157,1,0,24,1,False,11,https://github.com/es-shims/object-is
extsprintf,112476309,2021-11-02,610,6246,12,0,36,1,False,11,https://github.com/davepacheco/node-extsprintf
rechoir,112455620,2021-07-24,952,935404,1,0,48,2,False,13,https://github.com/gulpjs/rechoir
exit,112124716,2013-11-26,1183,2586560,1,0,67,8,False,3,https://github.com/cowboy/node-exit
lodash.isequal,111924648,2017-01-10,4209,499092,2,0,61277,104,False,23,https://github.com/lodash/lodash
global-modules,110719180,2018-12-15,756,959564,1,0,35,7,False,7,https://github.com/jonschlinkert/global-modules
dateformat,109848192,2022-02-19,3224,589718,6,0,1293,16,False,42,https://github.com/felixge/node-dateformat
hast-util-parse-selector,109201362,2023-08-01,68,356957,2,0,13,0,False,14,https://github.com/syntax-tree/hast-util-parse-selector
normalize-range,109172618,2015-09-13,296,3193916,1,0,17,1,False,3,https://github.com/jamestalmage/normalize-range
camel-case,108691457,2023-09-30,1211,2493883,1,0,2405,17,False,21,https://github.com/blakeembrey/change-case
redux-thunk,108587112,2023-12-04,7365,591408,5,0,17664,2,False,23,https://github.com/reduxjs/redux-thunk
change-case,108357112,2024-04-03,4046,155328,1,0,2405,17,False,45,https://github.com/blakeembrey/change-case
layout-base,108081187,2021-06-25,5,10135,6,0,5,4,False,5,https://github.com/iVis-at-Bilkent/layout-base
atomic-sleep,107666816,2020-03-09,68,45542,1,0,86,3,False,1,https://github.com/davidmarkclements/atomic-sleep
d3-zoom,107594598,2021-06-10,428,57906,2,0,535,23,False,36,https://github.com/d3/d3-zoom
http2-wrapper,107025561,2023-11-10,354,138437,2,0,250,14,False,59,https://github.com/szmarczak/http2-wrapper
is-regexp,106800033,2021-10-31,166,1682812,1,0,24,0,False,5,https://github.com/sindresorhus/is-regexp
unique-string,106189115,2021-04-05,610,1699885,1,0,89,0,False,3,https://github.com/sindresorhus/unique-string
stackframe,105983023,2022-06-06,512,1380694,4,0,82,12,False,21,https://github.com/stacktracejs/stackframe
file-uri-to-path,105874624,2019-10-11,488,457029,1,0,29,3,False,4,https://github.com/TooTallNate/file-uri-to-path
cose-base,105744382,2023-01-17,7,10285,1,0,11,2,False,7,https://github.com/iVis-at-Bilkent/cose-base
boxen,105684521,2024-08-05,5510,1199012,1,0,1675,9,False,41,https://github.com/sindresorhus/boxen
websocket-extensions,105624277,2020-06-02,395,3053754,1,1,75,1,False,5,https://github.com/faye/websocket-extensions-node
error-stack-parser,105367179,2022-06-06,971,1411254,5,0,486,24,False,35,https://github.com/stacktracejs/error-stack-parser
detect-node,104431329,2021-05-16,817,2961651,1,0,75,3,False,8,https://github.com/iliakan/detect-node
@types/node-fetch,104393029,2021-09-03,11906,232290,1,0,51421,683,False,56,https://github.com/DefinitelyTyped/DefinitelyTyped
@emotion/hash,103820750,2024-07-19,147,609897,2,0,18020,393,False,17,https://github.com/emotion-js/emotion
html-void-elements,103782431,2023-05-19,87,185986,1,0,28,0,False,9,https://github.com/wooorm/html-void-elements
param-case,103735837,2023-09-30,725,2431340,1,0,2405,17,False,17,https://github.com/blakeembrey/change-case
bindings,103304255,2019-02-27,3518,436775,1,0,415,35,False,19,https://github.com/TooTallNate/node-bindings
pascal-case,102878534,2023-09-30,1284,1291729,1,0,2405,17,False,16,https://github.com/blakeembrey/change-case
@types/d3-zoom,102414348,2023-11-07,165,11627,1,0,48512,736,False,45,https://github.com/DefinitelyTyped/DefinitelyTyped
simple-get,101963873,2022-01-25,497,342958,2,1,402,23,False,39,https://github.com/feross/simple-get
buffer-equal-constant-time,101740021,2013-12-16,119,732467,2,0,15,1,True,2,https://github.com/goinstant/buffer-equal-constant-time
url,101609338,2024-07-26,5559,895914,3,0,376,16,False,11,https://github.com/defunctzombie/node-url
whatwg-fetch,101562961,2023-12-13,9143,1998972,1,0,25852,23,False,51,https://github.com/github/fetch
promise-retry,101407704,2020-06-14,631,852861,3,0,319,11,False,17,https://github.com/IndigoUnited/node-promise-retry
lodash.clonedeep,101353288,2016-08-13,4580,1072070,2,0,61277,104,False,24,https://github.com/lodash/lodash
minipass-collect,100458607,2023-08-20,235,1432440,1,0,3,2,False,5,https://github.com/isaacs/minipass-collect
colors,100445735,2019-09-22,29121,535834,1,2,5161,91,False,26,https://github.com/Marak/colors.js
encoding,100159740,2020-07-10,937,1307827,1,0,89,7,False,13,https://github.com/andris9/encoding
fastest-levenshtein,100095363,2022-08-02,482,376705,1,0,774,2,False,17,https://github.com/ka-weihe/fastest-levenshtein
clone-deep,99924150,2018-11-22,1418,2208537,2,0,318,8,False,16,https://github.com/jonschlinkert/clone-deep
shallow-clone,99751739,2019-04-16,800,2182387,2,0,31,0,False,9,https://github.com/jonschlinkert/shallow-clone
jsbn,99664744,2017-02-13,832,900521,1,0,173,17,False,4,https://github.com/andyperlitch/jsbn
icss-utils,99554884,2020-11-19,449,2763117,4,0,22,18,False,10,https://github.com/css-modules/icss-utils
@types/normalize-package-data,99476425,2023-11-07,139,1399447,1,0,51432,691,False,5,https://github.com/DefinitelyTyped/DefinitelyTyped
duplexer2,99385053,2015-11-08,344,561797,3,0,70,6,False,7,https://github.com/deoxxa/duplexer2
emojis-list,99297016,2019-05-12,558,5586,1,0,93,1,False,8,https://github.com/kikobeats/emojis-list
w3c-keyname,98975052,2023-06-07,60,14037,1,0,34,2,True,22,https://github.com/marijnh/w3c-keyname
assert-plus,98512765,2016-01-27,1241,916223,9,0,118,12,False,8,https://github.com/mcavage/node-assert-plus
err-code,98433875,2021-02-05,384,846998,2,0,20,13,False,13,https://github.com/IndigoUnited/js-err-code
react-fast-compare,97581348,2023-05-18,784,392869,7,0,1665,13,False,15,https://github.com/FormidableLabs/react-fast-compare
@hapi/topo,97577630,2023-03-11,49,1934516,6,0,109,0,False,14,https://github.com/hapijs/topo
aws4,97279740,2024-08-28,1066,9726,1,0,718,39,False,75,https://github.com/mhart/aws4
@types/d3-format,97056392,2023-11-07,183,13257,1,0,51421,683,False,30,https://github.com/DefinitelyTyped/DefinitelyTyped
extract-zip,97011339,2020-06-10,1503,447828,2,2,399,60,False,24,https://github.com/maxogden/extract-zip
postcss-modules-extract-imports,96939259,2024-04-03,607,2821775,4,0,41,11,False,19,https://github.com/css-modules/postcss-modules-extract-imports
os-tmpdir,96526492,2018-11-08,1255,796790,1,0,37,0,True,4,https://github.com/sindresorhus/os-tmpdir
fecha,95265061,2022-04-15,409,155573,1,0,2067,8,False,25,https://github.com/taylorhakes/fecha
http-proxy,94589519,2020-05-17,3478,1171454,4,2,14125,619,False,85,https://github.com/http-party/node-http-proxy
d3-delaunay,94569686,2023-04-01,76,24641,3,0,655,1,False,41,https://github.com/d3/d3-delaunay
@types/d3-time-format,94460484,2023-11-07,151,11991,1,0,51432,691,False,22,https://github.com/DefinitelyTyped/DefinitelyTyped
simple-concat,94328643,2020-07-17,135,390207,1,0,23,1,False,2,https://github.com/feross/simple-concat
duplexer,94075681,2020-08-12,673,2218742,1,0,96,1,False,7,https://github.com/Raynos/duplexer
at-least-node,93784505,2020-02-01,478,1195589,1,0,3,0,False,1,https://github.com/RyanZim/at-least-node
acorn-globals,93581027,2022-09-02,689,2226795,3,0,47,3,False,27,https://github.com/ForbesLindesay/acorn-globals
snake-case,93220318,2023-09-30,469,170439,1,0,2405,17,False,16,https://github.com/blakeembrey/change-case
typedarray-to-buffer,93207463,2020-11-23,1047,1558644,1,0,66,0,False,19,https://github.com/feross/typedarray-to-buffer
@jridgewell/set-array,93145999,2024-02-29,5,1278647,1,0,4,1,False,7,https://github.com/jridgewell/set-array
proper-lockfile,92956095,2021-01-25,334,137128,2,0,232,19,False,33,https://github.com/moxystudio/node-proper-lockfile
@types/d3-drag,92777983,2023-11-07,137,11344,1,0,51432,691,False,31,https://github.com/DefinitelyTyped/DefinitelyTyped
base64-arraybuffer,92642984,2022-01-22,616,1121098,1,0,373,11,False,9,https://github.com/niklasvh/base64-arraybuffer
redis-errors,92639918,2017-06-01,45,69666,2,0,6,3,False,3,https://github.com/NodeRedis/redis-errors
load-json-file,92598735,2021-09-13,1639,5188,1,0,250,0,False,15,https://github.com/sindresorhus/load-json-file
postcss-modules-values,92565064,2020-10-13,708,2820939,4,0,41,14,False,18,https://github.com/css-modules/postcss-modules-values
@dnd-kit/utilities,92498308,2023-11-06,294,8341,1,0,17603,126,False,87,https://github.com/clauderic/dnd-kit
@emotion/weak-memoize,92207307,2024-07-19,64,394801,2,0,18020,393,False,15,https://github.com/emotion-js/emotion
is-node-process,92166480,2023-03-23,18,8302,1,0,12,2,False,4,https://github.com/mswjs/is-node-process
config-chain,92028006,2021-06-03,420,580206,2,0,105,3,True,24,https://github.com/dominictarr/config-chain
jsprim,91983703,2021-11-17,601,5049,12,0,33,4,False,29,https://github.com/joyent/node-jsprim
vfile-location,91773703,2024-07-15,126,323189,1,0,14,0,False,18,https://github.com/vfile/vfile-location
strict-event-emitter,91756674,2023-09-21,31,10496,1,0,67,0,False,22,https://github.com/open-draft/strict-event-emitter
domexception,91701686,2021-10-06,627,2042348,6,0,22,0,True,6,https://github.com/jsdom/domexception
abab,91692763,2022-04-17,889,2273720,1,0,91,0,True,12,https://github.com/jsdom/abab
@popperjs/core,91436781,2023-05-26,5137,622132,2,0,32741,61,False,75,https://github.com/popperjs/popper-core
tailwindcss-animate,91434347,2023-08-28,548,29990,1,0,,,,8,
expand-template,91271566,2018-11-27,50,237089,1,0,18,0,False,11,https://github.com/ralphtheninja/expand-template
is-installed-globally,90844923,2023-11-06,593,1091810,1,0,71,1,False,7,https://github.com/sindresorhus/is-installed-globally
joycon,90446698,2021-12-01,254,37908,1,0,150,12,False,24,https://github.com/egoist/joycon
symbol-observable,90361520,2021-04-15,613,1492619,3,0,187,3,False,19,https://github.com/blesh/symbol-observable
punycode.js,90140696,2023-10-30,6,3599,2,0,1691,47,False,3,https://github.com/mathiasbynens/punycode.js
common-tags,89999073,2021-11-16,1823,1658574,2,0,2027,16,False,26,https://github.com/zspecza/common-tags
redis-parser,89812691,2017-05-25,78,139495,2,0,86,9,False,18,https://github.com/NodeRedis/node-redis-parser
d3-hierarchy,89691228,2022-04-02,497,73704,2,0,1271,26,False,34,https://github.com/d3/d3-hierarchy
proto-list,89322660,2015-05-21,334,579880,1,0,20,13,False,7,https://github.com/isaacs/proto-list
one-time,89288178,2019-05-05,84,138677,3,0,9,0,False,6,https://github.com/3rd-Eden/one-time
aws-sign2,89015156,2017-04-12,681,9743,1,0,30,2,False,4,https://github.com/mikeal/aws-sign
ansi-align,88978051,2021-09-27,646,1198213,1,0,24,15,False,5,https://github.com/nexdrew/ansi-align
asn1.js,88634075,2020-06-18,667,814933,2,0,189,43,False,71,https://github.com/indutny/asn1.js
triple-beam,88614616,2023-07-10,309,135332,2,0,26,8,False,7,https://github.com/winstonjs/triple-beam
external-editor,88422995,2019-07-08,945,629749,1,0,44,11,False,18,https://github.com/mrkmg/node-external-editor
@types/d3-delaunay,88307078,2023-11-07,32,7119,1,0,51421,683,False,14,https://github.com/DefinitelyTyped/DefinitelyTyped
cluster-key-slot,88106280,2022-11-01,48,53351,1,0,22,2,False,16,https://github.com/Salakar/cluster-key-slot
@emotion/sheet,88050486,2024-07-20,43,394789,2,0,18020,393,False,40,https://github.com/emotion-js/emotion
defer-to-connect,87902321,2021-02-24,481,917975,1,0,9,0,False,9,https://github.com/szmarczak/defer-to-connect
web-namespaces,87866714,2021-11-05,56,313754,1,0,6,0,False,8,https://github.com/wooorm/web-namespaces
@nolyfill/is-core-module,87701863,2024-07-22,0,0,1,0,1186,39,False,5,https://github.com/SukkaW/nolyfill
dezalgo,87175059,2022-04-06,202,551330,1,0,93,4,False,5,https://github.com/npm/dezalgo
text-hex,87066568,2018-07-17,22,138711,2,0,8,1,False,2,https://github.com/3rd-Eden/text-hex
engine.io-parser,87063679,2024-07-11,215,1253645,2,0,63212,200,False,52,https://github.com/socketio/socket.io
has-values,86928313,2018-01-31,938,3781356,1,0,23,3,False,7,https://github.com/jonschlinkert/has-values
cheerio-select,86868235,2022-05-16,49,103761,1,0,27,13,False,12,https://github.com/cheeriojs/cheerio-select
repeat-string,86739151,2016-10-23,1219,4068394,2,0,50,4,False,17,https://github.com/jonschlinkert/repeat-string
fast-sha256,86735842,2020-01-16,195,4109,1,0,137,3,False,7,https://github.com/dchest/fast-sha256-js
d3-quadtree,86637784,2021-06-05,89,64945,2,0,238,9,False,28,https://github.com/d3/d3-quadtree
is-data-descriptor,86302870,2023-10-27,934,956019,2,0,21,0,False,13,https://github.com/inspect-js/is-data-descriptor
@aws-crypto/sha1-browser,86270858,2023-10-16,7,4980,2,0,69,33,False,8,https://github.com/aws/aws-sdk-js-crypto-helpers
help-me,86226236,2023-12-13,65,13945,1,0,15,0,False,13,https://github.com/mcollina/help-me
node-abort-controller,85939901,2023-01-26,406,105993,2,0,57,3,False,13,https://github.com/southpolesteve/node-abort-controller
outvariant,85891381,2024-07-05,40,8359,1,0,54,0,False,14,https://github.com/open-draft/outvariant
d3-scale-chromatic,85633721,2024-03-12,523,54331,2,0,819,8,False,20,https://github.com/d3/d3-scale-chromatic
qrcode,85612995,2024-08-05,2464,31627,2,0,8169,125,False,50,https://github.com/soldair/node-qrcode
verror,85598665,2021-11-02,1359,4047,12,0,1191,18,False,23,https://github.com/joyent/node-verror
loglevel,85573978,2024-09-06,2228,2916090,1,0,2749,19,False,31,https://github.com/pimterry/loglevel
dijkstrajs,85281229,2023-04-15,56,32111,1,0,49,7,False,5,https://github.com/tcort/dijkstrajs
hash.js,84301278,2018-11-30,1350,841002,1,0,323,14,False,17,https://github.com/indutny/hash.js
astring,83943780,2024-08-25,419,39839,1,0,1247,41,False,83,https://github.com/davidbonnet/astring
@aws-crypto/crc32c,83923718,2023-10-16,13,4980,2,0,69,33,False,12,https://github.com/aws/aws-sdk-js-crypto-helpers
kuler,83867280,2019-06-06,36,141288,2,0,22,3,False,4,https://github.com/3rd-Eden/kuler
resolve-alpn,83752529,2021-08-30,342,138405,1,0,8,0,False,7,https://github.com/szmarczak/resolve-alpn
clean-css,83424086,2023-11-30,3850,2829869,2,1,4201,45,False,211,https://github.com/clean-css/clean-css
strict-uri-encode,83350367,2016-10-11,323,2182990,1,0,62,3,False,5,https://github.com/kevva/strict-uri-encode
http-signature,83140567,2023-11-15,716,905940,10,1,404,34,False,28,https://github.com/TritonDataCenter/node-http-signature
postgres-bytea,83021406,2020-06-11,7,221750,1,0,13,0,False,4,https://github.com/bendrucker/postgres-bytea
style-loader,82933827,2024-04-08,86729,2565362,3,0,1667,9,True,76,https://github.com/webpack-contrib/style-loader
stream-events,82596201,2018-10-26,42,92226,1,0,7,0,False,6,https://github.com/stephenplusplus/stream-events
browserify-zlib,82519700,2017-06-03,1111,810875,2,0,58,21,False,6,https://github.com/devongovett/browserify-zlib
filter-obj,82513808,2024-05-27,200,201966,1,0,105,2,False,11,https://github.com/sindresorhus/filter-obj
jsonparse,82358303,2017-05-09,610,1035777,1,0,370,20,False,11,https://github.com/creationix/jsonparse
caseless,82128706,2017-01-26,689,8221,3,0,94,9,False,12,https://github.com/mikeal/caseless
rw,81805494,2017-01-20,176,97561,1,0,118,1,False,19,https://github.com/mbostock/rw
isomorphic-ws,81755825,2022-06-27,1209,81470,1,0,417,12,False,8,https://github.com/heineiuo/isomorphic-ws
gzip-size,81575731,2021-11-23,2565,2099829,1,0,173,0,False,18,https://github.com/sindresorhus/gzip-size
lodash.sortby,81449505,2016-08-13,988,1913259,2,0,61277,104,False,30,https://github.com/lodash/lodash
bs-logger,80937976,2018-11-10,299,360346,1,0,7,23,False,7,https://github.com/huafu/bs-logger
@tootallnate/quickjs-emscripten,80342019,2023-07-18,3,8662,1,0,1705,39,False,1,https://github.com/justjake/quickjs-emscripten
d3-force,80297750,2021-06-05,373,64420,2,0,2001,27,False,37,https://github.com/d3/d3-force
d3-dsv,80207934,2021-06-05,443,63389,2,0,446,15,False,38,https://github.com/d3/d3-dsv
gauge,79929736,2024-05-04,517,2839239,4,0,322,8,True,40,https://github.com/npm/gauge
@babel/plugin-syntax-dynamic-import,79868621,2020-01-13,13726,4180311,4,0,42703,759,False,38,https://github.com/babel/babel
stream-browserify,79375018,2020-04-16,3231,818738,39,0,105,6,False,14,https://github.com/browserify/stream-browserify
url-join,79309462,2022-03-23,3456,325671,2,0,366,7,False,13,https://github.com/jfromaniello/url-join
mri,79271656,2021-09-12,921,189367,1,0,679,9,False,10,https://github.com/lukeed/mri
enabled,79173585,2018-10-28,28,141086,1,0,5,3,False,3,https://github.com/3rd-Eden/enabled
@types/d3-hierarchy,79124434,2024-03-18,144,11835,1,0,47049,681,False,33,https://github.com/DefinitelyTyped/DefinitelyTyped
are-we-there-yet,79121956,2024-01-05,423,3119265,4,0,183,0,True,21,https://github.com/npm/are-we-there-yet
jsonpointer,78956220,2022-07-13,377,796865,2,1,197,2,False,11,https://github.com/janl/node-jsonpointer
webpack-merge,78827644,2024-07-02,32351,1382156,1,0,2683,6,False,91,https://github.com/survivejs/webpack-merge
sshpk,78679129,2023-10-19,671,4144,10,2,189,31,False,50,https://github.com/joyent/node-sshpk
@socket.io/component-emitter,78426052,2022-11-22,16,106816,1,0,5,0,False,6,https://github.com/socketio/emitter
@types/triple-beam,78156631,2023-11-07,177,24293,1,0,51421,683,False,6,https://github.com/DefinitelyTyped/DefinitelyTyped
json-parse-better-errors,77452882,2018-03-30,1175,925320,1,0,70,5,False,3,https://github.com/zkat/json-parse-better-errors
temp-dir,77361831,2022-09-26,607,889505,1,0,85,0,False,3,https://github.com/sindresorhus/temp-dir
fn.name,77318212,2018-06-14,24,84017,2,0,8,6,False,3,https://github.com/3rd-Eden/fn.name
has-value,76929610,2018-03-03,984,3780978,1,0,26,2,False,9,https://github.com/jonschlinkert/has-value
opener,76545878,2020-08-29,1645,638829,1,0,310,8,False,12,https://github.com/domenic/opener
isstream,76543279,2015-03-07,844,5275,1,0,63,1,False,4,https://github.com/rvagg/isstream
cookiejar,76340991,2023-01-13,179,449261,2,1,122,6,False,20,https://github.com/bmeck/node-cookiejar
@babel/helper-split-export-declaration,76294882,2024-06-05,30,3795636,4,0,43991,774,False,60,https://github.com/babel/babel
delegates,76245577,2015-12-14,650,2863488,2,0,427,13,False,5,https://github.com/visionmedia/node-delegates
d3-axis,76105991,2021-06-09,474,55033,2,0,208,13,False,28,https://github.com/d3/d3-axis
dashdash,75878568,2020-09-25,736,7118,1,0,176,24,False,29,https://github.com/trentm/node-dashdash
d3,75741267,2024-03-12,6155,86366,2,0,113723,20,False,273,https://github.com/d3/d3
d3-brush,75548316,2021-06-10,231,56557,2,0,155,12,False,38,https://github.com/d3/d3-brush
d3-random,75502105,2021-06-05,119,53026,2,0,139,6,False,25,https://github.com/d3/d3-random
getpass,75369779,2017-04-25,544,5797,7,0,18,4,False,8,https://github.com/arekinath/node-getpass
stubs,75331177,2017-01-13,13,91978,1,0,5,1,False,6,https://github.com/stephenplusplus/stubs
safe-regex,75330527,2019-10-21,1070,3777495,1,0,194,11,False,9,https://github.com/davisjam/safe-regex
@types/d3-force,75242120,2024-06-17,109,11392,1,0,51421,683,False,37,https://github.com/DefinitelyTyped/DefinitelyTyped
npmlog,75229360,2022-10-19,4279,2841641,4,0,439,1,True,34,https://github.com/npm/npmlog
lodash.escaperegexp,74753245,2016-07-25,475,109298,2,0,61277,104,False,8,https://github.com/lodash/lodash
lodash.flatten,74709160,2016-08-13,949,404857,2,0,61277,104,False,16,https://github.com/lodash/lodash
tunnel,74382254,2018-09-11,412,197917,1,0,535,13,True,7,https://github.com/koichik/node-tunnel
xdg-basedir,74365658,2021-08-05,608,1129251,1,0,94,0,False,8,https://github.com/sindresorhus/xdg-basedir
d3-fetch,74181088,2021-06-05,106,45596,2,0,227,3,False,13,https://github.com/d3/d3-fetch
connect,74055052,2019-05-18,5772,371870,1,3,9875,14,False,234,https://github.com/senchalabs/connect
functional-red-black-tree,74049516,2014-09-29,779,823559,1,0,387,13,False,3,https://github.com/mikolalysenko/functional-red-black-tree
lodash.get,73595508,2016-08-13,5364,680658,2,0,61277,104,False,13,https://github.com/lodash/lodash
@types/responselike,73568345,2022-09-04,62,163652,1,0,51432,691,False,5,https://github.com/DefinitelyTyped/DefinitelyTyped
github-from-package,73238397,2012-12-29,50,235247,1,0,9,1,False,1,https://github.com/substack/github-from-package
forever-agent,73046884,2015-04-07,641,6085,3,0,79,22,False,7,https://github.com/mikeal/forever-agent
@types/d3-quadtree,72962365,2023-11-22,24,11109,1,0,51421,683,False,27,https://github.com/DefinitelyTyped/DefinitelyTyped
raf,72863813,2018-11-02,5835,1549744,2,0,737,1,False,24,https://github.com/chrisdickinson/raf
@open-draft/logger,72712570,2023-04-14,2,3,1,0,19,5,False,6,https://github.com/open-draft/logger
walk-up-path,72690492,2024-07-08,45,48851,1,0,11,0,False,5,https://github.com/isaacs/walk-up-path
d3-polygon,72613989,2021-06-05,93,53066,2,0,100,6,False,20,https://github.com/d3/d3-polygon
color-support,72555592,2017-06-06,411,680554,1,0,23,6,False,5,https://github.com/isaacs/color-support
crypto-js,72233274,2023-10-24,11874,163892,1,3,16408,279,False,20,https://github.com/brix/crypto-js
lodash.union,72036199,2016-08-13,307,188843,2,0,61278,105,False,20,https://github.com/lodash/lodash
@types/d3-axis,72032896,2023-11-07,128,11568,1,0,51432,691,False,34,https://github.com/DefinitelyTyped/DefinitelyTyped
@types/d3-fetch,71980871,2023-11-07,17,9874,1,0,51419,680,False,28,https://github.com/DefinitelyTyped/DefinitelyTyped
@types/caseless,71967980,2023-11-07,20,61809,1,0,51421,683,False,6,https://github.com/DefinitelyTyped/DefinitelyTyped
global-dirs,71909356,2023-11-06,607,1137634,1,0,74,4,False,9,https://github.com/sindresorhus/global-dirs
@types/d3-contour,71750880,2023-11-07,20,9825,1,0,51421,683,False,28,https://github.com/DefinitelyTyped/DefinitelyTyped
queue,71716911,2023-04-11,497,99878,1,0,772,19,False,38,https://github.com/jessetane/queue
ecc-jsbn,71628159,2018-07-29,544,6664,3,0,23,3,False,4,https://github.com/quartzjer/ecc-jsbn
for-in,71577011,2017-02-28,1046,3955204,2,0,36,1,False,12,https://github.com/jonschlinkert/for-in
clone-response,71556434,2022-07-17,274,1068912,1,0,32,0,False,11,https://github.com/sindresorhus/clone-response
d3-contour,71451253,2023-01-11,74,48513,2,0,521,10,False,18,https://github.com/d3/d3-contour
lodash.difference,71328079,2016-08-13,508,167259,2,0,61277,104,False,23,https://github.com/lodash/lodash
trim-newlines,71114256,2023-03-20,732,1349635,1,1,49,0,False,10,https://github.com/sindresorhus/trim-newlines
es6-promise,71072463,2019-06-06,11715,1292194,2,0,7249,26,False,34,https://github.com/stefanpenner/es6-promise
shallowequal,71065153,2018-06-23,1583,707128,1,0,167,12,False,8,https://github.com/dashed/shallowequal
obuf,71043873,2018-03-10,311,2904278,1,0,11,5,False,10,https://github.com/indutny/offset-buffer
void-elements,70900509,2017-01-19,243,949941,2,0,23,3,False,6,https://github.com/pugjs/void-elements
remove-trailing-separator,70848477,2017-08-16,775,963085,1,0,12,0,False,4,https://github.com/darsain/remove-trailing-separator
@types/d3,70632094,2023-11-07,1581,15233,1,0,51432,691,False,110,https://github.com/DefinitelyTyped/DefinitelyTyped
throat,70302431,2023-01-03,1094,2093703,2,0,484,13,False,14,https://github.com/ForbesLindesay/throat
lodash.isfunction,70258570,2018-02-04,1158,114637,2,0,61277,104,False,17,https://github.com/lodash/lodash
tsutils,70215192,2021-03-07,2385,2391438,1,0,331,26,False,94,https://github.com/ajafff/tsutils
jwt-decode,70149579,2023-10-27,3465,143489,21,0,3090,5,False,29,https://github.com/auth0/jwt-decode
assert,70135058,2023-09-07,9537,650104,6,0,298,5,False,16,https://github.com/browserify/commonjs-assert
@types/d3-dsv,70121989,2023-11-07,107,11517,1,0,51421,683,False,55,https://github.com/DefinitelyTyped/DefinitelyTyped
html-minifier-terser,70100398,2023-04-11,463,1213814,2,0,481,39,False,19,https://github.com/terser/html-minifier-terser
xml,69955864,2016-01-31,596,81920,2,0,283,24,False,11,https://github.com/dylang/node-xml
lodash.throttle,69780166,2016-08-13,3280,601566,2,0,58818,71,False,16,https://github.com/lodash/lodash
d3-chord,69561655,2021-06-05,61,52760,2,0,124,6,False,22,https://github.com/d3/d3-chord
@types/mdurl,69504601,2024-05-01,26,47079,1,0,51432,691,False,7,https://github.com/DefinitelyTyped/DefinitelyTyped
rope-sequence,69399458,2023-05-17,12,6935,1,0,48,0,True,10,https://github.com/marijnh/rope-sequence
warning,69292473,2019-02-09,2872,924753,1,0,220,1,False,10,https://github.com/BerkeleyTrue/warning
bcrypt-pbkdf,69200514,2018-06-29,571,9016,10,0,7,3,False,3,https://github.com/joyent/node-bcrypt-pbkdf
append-field,69103505,2021-07-24,80,281881,1,0,7,3,False,3,https://github.com/LinusU/node-append-field
@graphql-typed-document-node/core,69090947,2023-03-20,270,87049,4,0,411,26,False,16,https://github.com/dotansimha/graphql-typed-document-node
lodash.groupby,68966913,2016-08-13,570,35888,2,0,58818,71,False,23,https://github.com/lodash/lodash
@isaacs/fs-minipass,68470789,2024-04-18,0,0,1,0,20,3,False,2,https://github.com/npm/fs-minipass
rehype-raw,68224266,2023-08-26,548,19241,3,0,,,,12,https://github.com/rehypejs/rehype-git
@types/doctrine,67968698,2023-11-07,116,10083,1,0,51432,691,False,9,https://github.com/DefinitelyTyped/DefinitelyTyped
text-segmentation,67778010,2022-01-22,66,14126,1,0,18,1,False,4,https://github.com/niklasvh/text-segmentation
