repo,otsikko,url,luotu,kommentteja,reaktioita,kirjoittajan_rooli
icastillejogomez/degiro-api,Looking for maintainers to help me keeping update this project,https://github.com/icastillejogomez/degiro-api/issues/59,2024-08-06,16,7,OWNER
beryx/badass-jlink-plugin,Looking for co-maintainers,https://github.com/beryx/badass-jlink-plugin/issues/223,2022-12-25,10,7,MEMBER
rafamadriz/friendly-snippets,Looking for co-maintainer?,https://github.com/rafamadriz/friendly-snippets/issues/566,2025-04-12,0,7,CONTRIBUTOR
hyprland-community/hyprland-autoname-workspaces,Seeking New Maintainer for hyprland-autoname-workspaces,https://github.com/hyprland-community/hyprland-autoname-workspaces/issues/117,2024-12-28,7,7,COLLABORATOR
simplyGits/MagisterJS,Looking for a new maintainer,https://github.com/simplyGits/MagisterJS/issues/76,2017-07-15,20,7,MEMBER
NixOS/nixpkgs,Maintainer team wanted for looking after pkgsStatic,https://github.com/NixOS/nixpkgs/issues/103290,2020-11-10,14,7,CONTRIBUTOR
krobertson/deb-s3,Maintainers: This is not the repo you're looking for!,https://github.com/krobertson/deb-s3/issues/169,2020-07-08,3,7,NONE
grbsk/ng2-idle,New Maintainer Wanted,https://github.com/grbsk/ng2-idle/issues/97,2018-05-08,22,6,OWNER
gid-oss/dataui-nestjs-crud,Looking for maintainer ,https://github.com/gid-oss/dataui-nestjs-crud/issues/66,2024-10-11,10,6,MEMBER
cordx56/rustowl,Looking for maintainers,https://github.com/cordx56/rustowl/issues/68,2025-03-21,5,6,OWNER
jazzband/django-axes,Looking for maintainers and participants,https://github.com/jazzband/django-axes/issues/1016,2023-03-10,3,5,MEMBER
caarlos0/env,Looking for co-maintainers,https://github.com/caarlos0/env/issues/407,2026-02-03,3,6,OWNER
frctl/fractal,PSA: status of project & looking for maintainers!,https://github.com/frctl/fractal/issues/1167,2022-04-16,11,6,MEMBER
XiangRongLin/NewPipe-preuinified,Looking for new maintainer,https://github.com/XiangRongLin/NewPipe-preuinified/issues/26,2022-08-13,9,6,OWNER
hf/leveldb-android,Looking for a maintainer!,https://github.com/hf/leveldb-android/issues/12,2019-05-28,0,6,OWNER
PrecisionGazeMouse/PrecisionGazeMouse,Switching to Talon Voice - looking for new maintainer,https://github.com/PrecisionGazeMouse/PrecisionGazeMouse/issues/93,2023-01-31,5,6,COLLABORATOR
tobychui/zoraxy,Looking for a new Docker maintainer,https://github.com/tobychui/zoraxy/issues/1174,2026-05-13,7,6,COLLABORATOR
jenv/jenv,Looking for a new maintainer,https://github.com/jenv/jenv/issues/333,2021-08-22,25,6,COLLABORATOR
jsverify/jsverify,JSVerify is looking for a new maintainer.,https://github.com/jsverify/jsverify/issues/299,2019-04-12,15,6,MEMBER
sebastianbergmann/dbunit,Wanted (Maybe?): New Maintainer,https://github.com/sebastianbergmann/dbunit/issues/217,2018-10-02,9,6,OWNER
rustwasm/book,Is this repo looking for new contributors/maintainers? ,https://github.com/rustwasm/book/issues/307,2023-12-09,5,5,NONE
zhrexl/DrawOnYourScreen2,Looking to take over as maintainer for this software.,https://github.com/zhrexl/DrawOnYourScreen2/issues/77,2024-11-04,2,6,NONE
njelich/LinkOff,Looking For Maintainer,https://github.com/njelich/LinkOff/issues/54,2024-01-26,6,5,OWNER
ansible-community/ansible-bender,👩‍🔧 Looking for maintainers ❤,https://github.com/ansible-community/ansible-bender/issues/282,2022-11-23,8,5,COLLABORATOR
