nimi,lataukset_kk,viimeinen_julkaisu_pypi,riippuvia_paketteja,riippuvia_repoja,yllapitajia,advisoryja,repo_tahdet,repo_avoimet_issuet,repo_arkistoitu,versioita,repo
icmplib,931061,2023-10-10,21,698,1,0,310,19,False,22,https://github.com/ValentinBELYN/icmplib
schematics,930872,2021-08-17,27,475,4,0,2586,109,False,24,https://github.com/schematics/schematics
msgpack-numpy,929577,2022-06-09,54,1727,1,0,215,5,False,21,https://github.com/lebedov/msgpack-numpy
formic2,928215,2018-05-28,2,36,1,0,3,1,False,3,https://github.com/wolfhong/formic
flake8-plugin-utils,927231,2023-06-26,10,806,1,0,18,6,False,11,https://github.com/afonasev/flake8-plugin-utils
pytest-anyio,924918,2021-06-29,3,3,1,0,0,0,False,1,https://github.com/graingert/pytest-anyio
tensorflow-addons,923528,2023-11-28,96,2984,2,0,,,,35,
typing-utils,923480,2021-05-23,14,278,1,0,12,2,False,4,https://github.com/bojiang/typing_utils
jupyter-packaging,921976,2022-08-25,53,544,5,0,65,16,False,39,https://github.com/jupyter/jupyter-packaging
sagemaker-data-insights,920808,2023-03-28,2,0,1,0,,,,5,https://github.com/aws/sagemaker-data-insights
sql-formatter,916533,2021-05-01,4,5,1,0,46,12,False,18,https://github.com/PabloRMira/sql_formatter
sagemaker-datawrangler,916207,2023-06-10,0,1,1,0,,,,7,
plotly-express,914228,2019-08-07,40,873,5,0,6,47,True,25,https://github.com/plotly/plotly_express
spacy-language-detection,912858,2021-09-08,1,3,1,0,7,3,False,1,https://github.com/davebulaval/spacy-language-detection
apeye-core,910458,2024-01-30,4,72,1,0,0,3,False,10,https://github.com/domdfcoding/apeye-core
splunk-handler,909963,2021-08-17,1,4,1,0,57,11,False,19,https://github.com/zach-taylor/splunk_handler
clikit,908517,2020-06-09,8,1073,1,0,74,14,False,18,https://github.com/sdispater/clikit
langid,907445,2016-04-05,53,666,1,0,2198,29,False,8,https://github.com/saffsd/langid.py
importlab,906222,2023-10-06,5,256,5,0,179,11,True,13,https://github.com/google/importlab
djangorestframework-role-filters,904222,2023-10-06,0,5,1,0,98,0,False,9,https://github.com/allisson/django-rest-framework-role-filters
mkdocs-minify-plugin,902754,2024-01-29,61,1941,1,0,195,9,False,18,https://github.com/byrnereese/mkdocs-minify-plugin
csscompressor,899866,2017-11-26,19,477,2,0,92,7,False,6,https://github.com/sprymix/csscompressor
types-botocore,899609,2022-04-01,2,8,1,0,670,24,False,3,https://github.com/youtype/mypy_boto3_builder
flake8-junit-report-basic,899456,2022-10-04,0,0,1,0,3,0,False,1,https://github.com/ricardogarfe/flake8-junit-report
pyshark,899176,2023-04-26,20,263,1,0,2497,144,False,48,https://github.com/KimiNewt/pyshark
gender-guesser,894564,2016-12-05,10,154,2,0,137,12,False,3,https://github.com/lead-ratings/gender-guesser
graphql-server-core,893686,2020-03-17,5,673,3,0,134,7,False,8,https://github.com/graphql-python/graphql-server-core
assertpy,892220,2020-07-19,22,506,3,0,464,18,False,13,https://github.com/assertpy/assertpy
airtable,890444,2021-02-05,1,45,2,0,273,11,False,9,https://github.com/josephbestjames/airtable.py
types-sqlalchemy-utils,889381,2024-05-13,1,11,1,0,5,6,False,3,https://github.com/cex-solutions/types-sqlalchemy-utils
telepath,886039,2023-06-12,5,277,1,0,144,5,False,5,https://github.com/wagtail/telepath
pipupgrade,885919,2022-02-16,2,173,1,0,597,58,False,44,https://github.com/achillesrasquinha/pipupgrade
bleach-allowlist,885783,2020-08-13,7,128,1,0,14,1,False,6,https://github.com/yourcelf/bleach-allowlist
opentracing,884706,2020-11-19,30,1135,3,0,750,28,True,24,https://github.com/opentracing/opentracing-python
types-smorest,878235,2022-12-13,0,3,1,0,2,12,False,11,https://github.com/cex-solutions/types-smorest
cint,878159,2019-03-19,1,1,1,0,9,6,False,1,https://github.com/disconnect3d/cint
nvidia-cusparse-cu11,877206,2024-08-17,56,1622,1,0,,,,3,
flake8-quotes,877008,2024-02-10,178,5923,3,0,178,12,False,41,https://github.com/zheller/flake8-quotes
slugid,875911,2019-02-15,6,269,3,0,6,0,False,9,https://github.com/taskcluster/slugid.py
strict-rfc3339,875443,2016-04-24,44,1189,1,0,,,,7,
mnemonic,870180,2024-01-05,70,710,3,0,954,5,False,14,https://github.com/trezor/python-mnemonic
crypto,869084,2015-05-14,25,877,1,0,47,18,False,16,https://github.com/chrissimpkins/crypto
pyrender,865155,2021-02-18,14,418,1,0,1468,191,False,43,https://github.com/mmatl/pyrender
hl7apy,861187,2024-03-13,2,17,2,0,280,37,False,14,https://github.com/crs4/hl7apy
rfc3339,859802,2019-09-24,22,458,1,0,,,,7,
pcpp,859574,2021-10-29,10,174,1,0,251,14,False,6,https://github.com/ned14/pcpp
pyandoc,859152,2016-02-04,1,105,2,0,215,2,True,2,https://github.com/kennethreitz/pyandoc
htmlmin,857691,2017-12-29,69,2577,1,0,137,15,False,9,https://github.com/mankyd/htmlmin
halo,856857,2020-11-10,176,1382,1,0,2892,50,False,31,https://github.com/manrajgrover/halo
json2html,855033,2019-07-03,26,894,1,0,282,21,False,13,https://github.com/softvar/json2html
prefixed,854667,2024-09-02,4,58,1,0,27,0,False,17,https://github.com/Rockhopper-Technologies/prefixed
cbor,852196,2016-02-09,20,870,1,0,,,,26,https://bitbucket.org/bodhisnarkva/cbor
apeye,850232,2023-08-14,15,108,1,0,1,6,False,24,https://github.com/domdfcoding/apeye
google-reauth,849630,2020-12-01,3,168,2,0,12,0,True,2,https://github.com/Google/google-reauth-python
sigtools,848728,2022-10-13,4,64,1,0,,,,23,
ypy-websocket,848175,2023-10-04,19,922,6,0,51,17,True,37,https://github.com/y-crdt/ypy-websocket
future-fstrings,847769,2019-06-16,33,355,1,0,389,0,True,14,https://github.com/asottile/future-fstrings
suds-py3,844589,2021-11-15,30,270,1,1,133,31,False,11,https://github.com/cackharot/suds-py3
argparse-dataclass,842298,2023-06-11,5,6,1,0,97,17,False,8,https://github.com/mivade/argparse_dataclass
asciitree,841090,2016-09-05,31,470,1,0,90,7,False,6,https://github.com/mbr/asciitree
git-remote-codecommit,840679,2023-08-25,2,137,1,0,270,33,False,11,https://github.com/awslabs/git-remote-codecommit
robust-downloader,840631,2023-11-13,3,0,1,0,5,0,False,2,https://github.com/fedebotu/robust-downloader
wrapt-timeout-decorator,837053,2024-02-28,17,23,1,0,160,11,False,19,https://github.com/bitranox/wrapt_timeout_decorator
patch,835439,2016-02-13,12,333,1,0,121,39,False,4,https://github.com/techtonik/python-patch
facexlib,835205,2023-04-15,18,780,1,0,978,39,False,16,https://github.com/xinntao/facexlib
python-mimeparse,834919,2024-08-25,19,4189,4,0,20,7,False,10,https://github.com/falconry/python-mimeparse
publish-event-sns,833046,2020-05-22,0,1,1,0,0,0,False,3,https://github.com/msantino/publish-event-sns
iterproxy,832490,2023-11-02,10,1,1,0,1,0,False,3,https://github.com/MacHu-GWU/iterproxy-project
paste,832206,2024-05-01,29,497,4,1,63,12,False,76,https://github.com/pasteorg/paste
yoyo-migrations,830639,2024-08-10,18,229,1,0,,,,47,
py-money,828830,2020-01-29,2,17,1,0,127,11,False,6,https://github.com/vimeo/py-money
logzero,827582,2021-03-17,143,1156,1,0,1028,24,True,16,https://github.com/metachris/logzero
pluginbase,822606,2021-05-16,15,362,2,0,1139,5,False,9,https://github.com/mitsuhiko/pluginbase
jsonschema-spec,821315,2023-08-16,4,275,1,0,10,11,False,12,https://github.com/p1c2u/jsonschema-spec
jupyter-dash,820642,2022-04-01,58,387,3,0,957,55,True,14,https://github.com/plotly/jupyter-dash
wandb-osh,820160,2024-03-21,0,0,1,0,92,16,False,10,https://github.com/klieret/wandb-offline-sync-hook
python-logging-loki,819559,2019-11-28,11,36,1,0,163,27,False,4,https://github.com/greyzmeem/python-logging-loki
py3dbp,818613,2020-07-04,0,1,1,0,463,30,False,7,https://github.com/enzoruiz/3dbinpacking
easyprocess,818459,2022-01-15,12,248,1,0,114,2,False,29,https://github.com/ponty/easyprocess
keyboard,816014,2020-03-23,259,1782,1,0,3964,414,False,34,https://github.com/boppreh/keyboard
timeago,813106,2022-08-18,27,458,2,0,223,5,False,14,https://github.com/hustcc/timeago
opendatalab,812093,2023-08-02,1,1,2,0,57,4,False,83,https://github.com/opendatalab/opendatalab-python-sdk
config,809283,2021-09-11,12,1880,1,0,,,,15,
azure-ai-contentsafety,807489,2023-12-12,6,1,1,0,5518,1139,False,2,https://github.com/Azure/azure-sdk-for-python
esprima,807180,2018-08-24,47,740,1,0,266,7,False,14,https://github.com/Kronuz/esprima-python
gym,804255,2022-10-04,389,13519,9,0,41791,297,False,108,
cerberus-python-client,802708,2022-10-06,1,1,3,0,12,3,True,33,https://github.com/Nike-Inc/cerberus-python-client
gviz-api,802636,2021-10-14,2,247,1,0,134,23,True,2,https://github.com/google/google-visualization-python
murmurhash2,801013,2022-02-12,3,4,1,0,4,0,False,13,https://github.com/messense/murmurhash2-py
python-olm,800970,2023-11-28,12,65,3,0,13,0,True,4,https://github.com/poljar/python-olm
remote-pdb,800249,2020-07-24,4,256,1,0,305,9,False,12,https://github.com/ionelmc/python-remote-pdb
prettierfier,798420,2019-07-22,2,12,1,0,5,2,False,3,https://github.com/annedo/prettierfier
flake8-broken-line,794746,2023-05-31,29,2904,1,0,111,14,False,9,https://github.com/wemake-services/flake8-broken-line
sharepy,791186,2022-02-05,2,23,1,0,177,38,False,7,https://github.com/JonathanHolvey/sharepy
trafaret,791135,2022-04-01,20,319,2,0,173,22,False,75,https://github.com/Deepwalker/trafaret
bumpversion,782976,2020-05-14,359,7487,2,0,1519,93,False,23,https://github.com/peritus/bumpversion
codefind,782467,2024-09-08,3,20,1,0,,,,8,https://github.com/breuleux/codefind
srt,780618,2023-03-28,26,205,1,0,536,10,False,30,https://github.com/cdown/srt
