nimi,lataukset_kk,viimeinen_julkaisu_pypi,riippuvia_paketteja,riippuvia_repoja,yllapitajia,advisoryja,repo_tahdet,repo_avoimet_issuet,repo_arkistoitu,versioita,repo
types-markupsafe,2233071,2021-11-27,1,150,1,0,5118,372,False,17,https://github.com/python/typeshed
aws-secretsmanager-caching,2232651,2024-06-20,31,48,1,0,146,10,False,5,https://github.com/aws/aws-secretsmanager-caching-python
python-nvd3,2231857,2024-04-22,7,776,2,0,665,19,False,44,https://github.com/areski/python-nvd3
scandir,2210860,2019-03-09,40,6349,2,0,537,0,True,16,https://github.com/benhoyt/scandir
dominate,2209495,2023-12-24,61,13543,1,0,1827,26,False,36,https://github.com/Knio/dominate
lovelyplots,2204138,2024-03-06,1,0,1,0,927,0,False,26,https://github.com/killiansheriff/LovelyPlots
fs,2189327,2022-05-02,134,1128,2,0,2105,117,False,88,https://github.com/PyFilesystem/pyfilesystem2
hashids,2184439,2020-07-26,30,922,1,0,,,,10,
python-vagrant,2178568,2022-03-31,9,1595,3,0,265,10,False,27,https://github.com/pycontribs/python-vagrant
pyquaternion,2172050,2020-10-05,54,787,1,0,366,37,False,6,https://github.com/KieranWynn/pyquaternion
deep-translator,2150975,2023-06-28,67,346,1,0,1589,37,False,73,https://github.com/nidhaloff/deep_translator
adagio,2147491,2024-08-14,3,118,2,0,10,1,False,16,https://github.com/fugue-project/adagio
anysqlite,2146115,2023-10-02,1,0,1,0,6,5,False,5,https://github.com/karosis88/anysqlite
dateutils,2142512,2020-10-23,83,1029,1,0,17,0,False,7,https://github.com/jmcantrell/python-dateutils
types-tzlocal,2136427,2023-10-24,20,129,1,0,21,9,False,18,https://github.com/python/typeshed
fasttext,2135676,2024-06-12,82,1299,2,0,25394,550,False,36,https://github.com/facebookresearch/fastText
yaml-config,2120549,2020-06-22,1,7,1,0,5,0,False,6,https://github.com/GreenBuildingRegistry/yaml-config
email-reply-parser,2117177,2020-10-07,8,509,2,0,530,19,False,14,https://github.com/zapier/email-reply-parser
mitmproxy-wireguard,2115471,2023-04-04,2,13,1,0,54,0,True,31,https://github.com/decathorpe/mitmproxy_wireguard
sphinx-basic-ng,2111048,2023-07-08,16,880,1,0,33,10,False,14,https://github.com/pradyunsg/sphinx-basic-ng
pytest-snapshot,2111005,2022-04-23,19,243,1,0,138,12,False,15,https://github.com/joseph-roitman/pytest-snapshot
sanic-routing,2105875,2023-12-31,5,404,1,0,16,8,False,25,https://github.com/sanic-org/sanic-routing
pyvirtualdisplay,2104291,2022-02-13,36,675,1,0,780,18,False,27,https://github.com/ponty/pyvirtualdisplay
shareplum,2102601,2020-04-22,5,9,1,0,179,99,True,11,https://github.com/jasonrollins/shareplum
sqlalchemy-stubs,2100365,2021-01-12,47,695,1,0,583,87,False,4,https://github.com/dropbox/sqlalchemy-stubs
jschema-to-python,2095662,2019-10-05,12,250,1,0,39,10,False,6,https://github.com/microsoft/jschema-to-python
pytz-deprecation-shim,2091299,2020-06-17,56,8594,1,0,8,6,False,2,https://github.com/pganssle/pytz-deprecation-shim
us,2077347,2024-07-22,20,387,1,0,518,13,False,17,https://github.com/unitedstates/python-us
django-admin-inline-paginator,2077069,2023-04-26,3,20,1,0,133,13,False,7,https://github.com/shinneider/django-admin-inline-paginator
filterpy,2069487,2018-10-10,51,780,1,0,3278,73,False,47,https://github.com/rlabbe/filterpy
commentjson,2066750,2020-10-05,32,301,1,0,109,13,False,18,https://github.com/vaidik/commentjson
circular-dict,2053468,2024-05-12,1,0,1,0,9,0,False,10,https://github.com/Eric-Canas/CircularDict
